,Unnamed: 0,project,website,project_twitter,created_at,amount,center_x,center_y,color
1140,603.0,ReFi Lagos,https://www.ubiafrica.com,ReFiLagos01,1682108557643.0,452.0,4.5,-12.557368354874361,0.39238448763373596
1141,602.0,Pentacle,https://pentacle.xyz,pentaclexyz,1682108152028.0,274.0,4.5,-11.691342951089922,0.3408482372664396
1142,601.0,Sybil-scorer,https://github.com/poupou-web3/sybil-scorer,PoupouWeb3,1682108040995.0,6633.0,4.5,-10.825317547305485,0.6689441851231549
1143,600.0,Ethereum San Pedro Sula,https://ethereumsanpedrosula.org,EthereumSPS,1682107143863.0,65.0,4.5,-9.959292143521045,0.192717771654718
1144,599.0,GeoNFT & Fractionalizer,https://www.curvelabs.eu/,curvelabs,1682107136947.0,312.0,4.5,-9.093266739736606,0.35421996884890883
1145,598.0,Decentralized Academy,https://www.decentralizedacademy.org,HurupayApp,1682107016674.0,12.0,4.5,-8.227241335952169,0.018771537176066316
1146,597.0,Nita's Employability in Web3 & Tech Community,https://eudtoxic.com,eudtoxic,1682106434756.0,11.0,4.5,-7.361215932167729,0.009812984349823054
1147,596.0,DeSci London - Growing a Network of Communities,https://desci.london,descilondon,1682106336881.0,589.0,4.5,-6.495190528383292,0.41964210871390245
1148,595.0,Eth Rebuild,https://buidlblocks.xyz,Blind_nabler,1682105832159.0,49.0,4.5,-5.6291651245988525,0.1636251261724002
1149,594.0,ReFi Mexico City node 🌱🌎vibrant community scaling a regenerative web3,https://refidao.com/mexicocity,refimexicocity,1682105706095.0,143.0,4.5,-4.763139720814413,0.2738960860136033
1150,593.0,Ancient Beast,https://AncientBeast.com,AncientBeast,1682105496712.0,177.0,4.5,-3.897114317029976,0.29585763970116585
1151,592.0,ensō collective,https://ensocollective.xyz,enso_collective,1682105136869.0,214.0,4.5,-3.0310889132455365,0.3154018514807664
1152,591.0,Rehash,https://rehashweb3.xyz,rehashweb3,1682104746877.0,63.0,4.5,-2.165063509461099,0.18950005953910176
1153,590.0,VoiceDeck: A Marketplace for Journalism Impact Certificates,https://voicedeck.plasmic.run,VoiceDeckDAO,1682104154322.0,1106.0,4.5,-1.299038105676658,0.4845140391146885
1154,589.0,clr.fund,https://clr.fund,clrfund,1682103650780.0,1239.0,4.5,-0.4330127018922205,0.49620545016637185
1155,588.0,MetaFest,https://metafest.wtf,MetaFam,1682103428477.0,684.0,4.5,0.43301270189221697,0.43503765794349675
1156,587.0,SISU Web3 Education Hub Focusing on Inclusion ,https://www.sisu.xyz/edulatam,angeladelsol,1682102937618.0,730.0,4.5,1.299038105676658,0.4417388723426705
1157,586.0,ReFi DAO — a global network of tech-enabled regenerative villages in startup cities ,https://www.refidao.com/,refidaoist,1682102335495.0,285.0,4.5,2.1650635094610955,0.3449007907583682
1158,585.0,GasHawk,https://www.gashawk.io,gashawkio,1682102163888.0,250.0,4.5,3.031088913245533,0.3314103294978995
1159,584.0,MetaGame,https://metagame.wtf,MetaFam,1682102056798.0,981.0,4.5,3.8971143170299705,0.47216595697376307
1160,583.0,American Crypto Academy,https://americancryptoacademy.org,USCryptoAcademy,1682101538305.0,11.0,4.5,4.7631397208144115,0.009812984349823054
1161,582.0,Impact Verification Infrastructure Bundle,https://bit.ly/impactverif,impact_verif,1682101504887.0,823.0,4.5,5.629165124598849,0.45408478659318746
